"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CURD test with steps","This will create new service","SUCCESS","2022-06-06T15:42:15.457+01:00[Europe/London]","0.0","5.43"
"Stores CURD test with steps","Verify if the strore was created in application","SUCCESS","2022-06-06T15:42:20.959+01:00[Europe/London]","0.0","0.08"
"Stores CURD test with steps","Update the store information and verify the updated information","SUCCESS","2022-06-06T15:42:21.044+01:00[Europe/London]","0.0","0.11"
"Stores CURD test with steps","Test004","SUCCESS","2022-06-06T15:42:21.153+01:00[Europe/London]","0.0","0.07"
