"Story","Title","Result","Date","Stability","Duration (s)"
"Products CURD test with steps","This will create a new product","SUCCESS","2022-06-06T15:42:23.332+01:00[Europe/London]","0.0","0.1"
"Products CURD test with steps","Verify if the product was added to the application","SUCCESS","2022-06-06T15:42:23.437+01:00[Europe/London]","0.0","0.04"
"Products CURD test with steps","Update the product information and verify the updated information","SUCCESS","2022-06-06T15:42:23.476+01:00[Europe/London]","0.0","0.08"
"Products CURD test with steps","Delete the product and verify if the product is deleted!","SUCCESS","2022-06-06T15:42:23.559+01:00[Europe/London]","0.0","0.06"
