"Story","Title","Result","Date","Stability","Duration (s)"
"Services CURD test with steps","This will create new store","SUCCESS","2022-06-06T15:42:23.695+01:00[Europe/London]","0.0","0.07"
"Services CURD test with steps","Verify if the services is created","SUCCESS","2022-06-06T15:42:23.766+01:00[Europe/London]","0.0","0.03"
"Services CURD test with steps","Test003","SUCCESS","2022-06-06T15:42:23.794+01:00[Europe/London]","0.0","0.08"
"Services CURD test with steps","Delete Service and verify if the Service is deleted","SUCCESS","2022-06-06T15:42:23.878+01:00[Europe/London]","0.0","0.06"
